raw_name,normalized_name
1-DIPHOSPHONIC ACID AND ITS SODIUM AND POTASSIUM SALTS,1-diphosphonicacidanditssodiumandpotassiumsalts
1-Decanol,1-decanol
1-HYDROXYETHYLIDENE-1,1-hydroxyethylidene-1
2-Acetylfuran,2-acetylfuran
2-Ethylbutyric acid,2-ethylbutyricacid
2-Furyl methy1 ketone,2-furylmethy1ketone
2-Hexenal,2-hexenal
2-Methyl-3-methoxypyrazine,2-methyl-3-methoxypyrazine
2-Methylbutyric acid,2-methylbutyricacid
2-Methylpyrazine,2-methylpyrazine
2-Pentanone,2-pentanone
2-acetyl pyrazine,2-acetylpyrazine
2-methyl prazine,2-methylprazine
3-DIOXOLANE (FEMA 4286),3-dioxolane(fema4286)
4-HYDROXY-2,4-hydroxy-2
4-Methyl-2-pentyl-1.3-dioxolane(FEMA 3630),4-methyl-2-pentyl-13-dioxolane(fema3630)
4-Methyl-5-thiazole ethanol,4-methyl-5-thiazoleethanol
4-Methyl-5-thiazoleethanol acetate,4-methyl-5-thiazoleethanolacetate
5'구아닐산NA,5'구아닐산na
5'이오닌산NA,5'이오닌산na
"5-DIMETHYL-3(2H)-FURANONE(FURANEOL,2,5-DIMETHYL-4-HYDROXY-3(2H)-FURANONE, FE NO.3174)",5-dimethyl-3(2h)-furanone(furaneol25-dimethyl-4-hydroxy-3(2h)-furanonefeno3174)
5-Methylfurffural,5-methylfurffural
5-Methylfurfural,5-methylfurfural
5-디하이드로-2-언데실-1H-이미다졸-1-에탄올과 수산화나트륨의 반응물,5-디하이드로-2-언데실-1h-이미다졸-1-에탄올과수산화나트륨의반응물
7.143BDD,7143bdd
A1소스,a1소스
AA전분,aa전분
AC-GREEN5000P,ac-green5000p
AIR,air
ALMAX 1000,almax1000
AMMONIUM CITRATE,ammoniumcitrate
ANF,anf
AP 콜라겐 효소분해 펩타이드(기능성원료인정제2010-25호),ap콜라겐효소분해펩타이드(기능성원료인정제2010-25호)
APPLE Flavor W,appleflavorw
AR,ar
ARTIFICIAL & NATURAL BUTTER FLAVOUR,artificialnaturalbutterflavour
ARTIFICIAL & NATURAL CREAM FLAVOUR,artificialnaturalcreamflavour
Abiu열매,abiu열매
Abiu열매분말,abiu열매분말
Acacia honey,acaciahoney
Acetic acid,aceticacid
Acetobacter pasteurianus,acetobacterpasteurianus
Acids,acids
Alcohols,alcohols
Aldehyde C-16,aldehydec-16
Aldehydes,aldehydes
Ally caproate,allycaproate
Allyl caproate,allylcaproate
Allyl cycloheeyl propionate,allylcycloheeylpropionate
Allyl hexanoate,allylhexanoate
American hazelnut열매,americanhazelnut열매
Amyl Butyrate,amylbutyrate
Angelica root천연착향료,angelicaroot천연착향료
Apple Flavor 10117700,appleflavor10117700
Apple Flavor 10123600,appleflavor10123600
Apple Flavor 10125300,appleflavor10125300
Apricot Flavor 10127600,apricotflavor10127600
Apricot Flavor 10129300,apricotflavor10129300
Apricot10126600,apricot10126600
Aromatic aldehydes,aromaticaldehydes
Artichoke Extract,artichokeextract
Ascorbic Acid,ascorbicacid
Aspergillus luchensis,aspergillusluchensis
Aspergillus luchuensis,aspergillusluchuensis
Aspergillus niger,aspergillusniger
Aspergillus niger배양물,aspergillusniger배양물
Aspergillus oryzae,aspergillusoryzae
Aspergillus oryzae 배양액,aspergillusoryzae배양액
Aspergillus oryzae발효,aspergillusoryzae발효
Aspergillus oryzae발효분말,aspergillusoryzae발효분말
Aspergillus oryzae분말,aspergillusoryzae분말
B-이오논,b-이오논
B.P,bp
BANANA FLAVOR,bananaflavor
BENZYL BENZOATE,benzylbenzoate
BIOBAKE CDI,biobakecdi
BT-11원지추출분말(기능성원료인정제2009-12호),bt-11원지추출분말(기능성원료인정제2009-12호)
Bacillus amyloliquefaciens,bacillusamyloliquefaciens
Bacillus coagulans,bacilluscoagulans
Bacillus natto,bacillusnatto
Bacillus natto추출분말,bacillusnatto추출분말
Bacillus polyfermenticus,bacilluspolyfermenticus
Bacillus subtilis,bacillussubtilis
Bacillus균주(고시형),bacillus균주(고시형)
Bacteroides xylanisolvens DSM23964 열처리 배양건조물,bacteroidesxylanisolvensdsm23964열처리배양건조물
Beaf Flavor 10208900,beafflavor10208900
Bees Wax,beeswax
Beet red color,beetredcolor
Benzyl acetate,benzylacetate
Benzyl isobutyrate,benzylisobutyrate
Beta glucosidase,betaglucosidase
Bifidobacterium adolescentis,bifidobacteriumadolescentis
Bifidobacterium animalis,bifidobacteriumanimalis
Bifidobacterium animalis ssp lactis분말,bifidobacteriumanimalisssplactis분말
Bifidobacterium animalis ssp lactis분말(고시형),bifidobacteriumanimalisssplactis분말(고시형)
Bifidobacterium animalis ssp. lactis(고시형),bifidobacteriumanimalisssplactis(고시형)
Bifidobacterium bifidum,bifidobacteriumbifidum
Bifidobacterium bifidum(고시형),bifidobacteriumbifidum(고시형)
Bifidobacterium bifidum분말,bifidobacteriumbifidum분말
Bifidobacterium breve,bifidobacteriumbreve
Bifidobacterium breve(고시형),bifidobacteriumbreve(고시형)
Bifidobacterium infantis,bifidobacteriuminfantis
Bifidobacterium infantis분말가루,bifidobacteriuminfantis분말가루
Bifidobacterium lactis,bifidobacteriumlactis
Bifidobacterium longum,bifidobacteriumlongum
Bifidobacterium longum(고시형),bifidobacteriumlongum(고시형)
Bifidobacterium longum동결건조,bifidobacteriumlongum동결건조
Bigeye sea perch,bigeyeseaperch
Black mangrove꽃꿀,blackmangrove꽃꿀
Brown Sugar Flavor 10223100,brownsugarflavor10223100
Buffalo berry열매,buffaloberry열매
Butter Flavor 10229600,butterflavor10229600
Butyric acid,butyricacid
CBR쇼트닝,cbr쇼트닝
CHOCOLATE FLAVOURING,chocolateflavouring
CIS- AND TRANS-2-ISOBUTYL-4-METHYL-1,cis-andtrans-2-isobutyl-4-methyl-1
CITRUS ESSENCE OIL,citrusessenceoil
CMO 함유 FAC(Fatty Acid Complex)(기능성원료인정제2014-26호),cmo함유fac(fattyacidcomplex)(기능성원료인정제2014-26호)
CP,cp
CROSCARMELLOSE SODIUM,croscarmellosesodium
CSL,csl
CUSTARD FLAVOUR,custardflavour
Ca(OH)₂,ca(oh)2
Candida utilis,candidautilis
Caprylic acid,caprylicacid
Carrot10311400,carrot10311400
Celery Flavor 10313100,celeryflavor10313100
Ceylon cinnamon가지,ceyloncinnamon가지
Cherry Flavor 603418601,cherryflavor603418601
Chestnut oak열매,chestnutoak열매
Chocolate Flavor,chocolateflavor
Citral,citral
